	('e_coli.fa.gz', 'e_coli_BW25113.fa')	('e_coli.fa.gz', 'Pichia_sorbitophila.fa')	('e_coli_BW25113.fa', 'Pichia_sorbitophila.fa')	entropies
000011110001000000000101001000000101000001110110001101110000	0	0	0	2.7464191544421537
000100000000010100100110001011010110101001101000100010010000	0	0	0	2.6884051188370046
000100000000101000000101111000000101111000000111101000000101	0	0	0	2.626222108824659
000100000011010100101100000100001000101010110101010000010001	0	0	0	2.6097109995814867
000100000100000001011001001001001101010011100100010000010101	0	0	0	2.693882536901094
000100001000011100010001000111000010100101000110000011100100	0	0	0	2.742555529024619
000100001010010110100001001000010010010100000100100101010101	0	0	0	2.4445468916101016
000100010010100010001001000100100010011001010001010110001001	0	0	0	2.478462992045358
000100010010101011010010000101001001000010100101001000000011	0	0	0	2.4962868397258933
000100100010100101000100101001001001000011000010001101000011	0	0	0	2.540698172639096
000100100010100101001100000010110000100101000100101010000011	0	0	0	2.5845290955097333
000100100101100001010010100001010001001000110001001001010100	0	0	0	2.520931425789043
000100101000110001010010000001000100100101100100010100101100	0	0	0	2.5995187637851793
000100101010001010101000101010101000010001100100000000110001	0	0	0	2.551640903818545
000100101010100010000000101010101000100101001001001000010011	0	0	0	2.3484816894600007
000100101010100010000000101010101000100101001001001000010011	0	0	0	2.3484816894600007
000100101010100010000000101010101000100101001001001000010011	0	0	0	2.3484816894600007
000100101010100010000000101010101000100101001001001000010011	0	0	0	2.3484816894600007
000100101010100010000000101010101000100101001001001000010011	0	0	0	2.3484816894600007
000100101010100010000000101010101000100101001001001000010011	0	0	0	2.3484816894600007
000100101010100010000000101010101000100101001001001000010011	0	0	0	2.3484816894600007
000100101010100010000000101010101000100101001001001000010011	0	0	0	2.3484816894600007
000100101010100010000000101010101000100101001001001000010011	0	0	0	2.3484816894600007
000100101010100010000000101010101000100101001001001000010011	0	0	0	2.3484816894600007
000100101010100010000000101010101000100101001001001000010011	0	0	0	2.3484816894600007
000100101010100010000000101010101000100101001001001000010011	0	0	0	2.3484816894600007
000100101010100010000000101010101000100101001001001000010011	0	0	0	2.3484816894600007
000100101010100010000000101010101000100101001001001000010011	0	0	0	2.3484816894600007
000100101010100010000000101010101000100101001001001000010011	0	0	0	2.3484816894600007
000100101010100010000000101010101000100101001001001000010011	0	0	0	2.3484816894600007
000100101010100010000000101010101000100101001001001000010011	0	0	0	2.3484816894600007
000100101010100010000000101010101000100101001001001000010011	0	0	0	2.3484816894600007
000100101010100010000000101010101000100101001001001000010011	0	0	0	2.3484816894600007
000100101010100010000000101010101000100101001001001000010011	0	0	0	2.3484816894600007
000100101010100010000000101010101000100101001001001000010011	0	0	0	2.3484816894600007
000100101010100010000000101010101000100101001001001000010011	0	0	0	2.3484816894600007
000100101010100010000000101010101000100101001001001000010011	0	0	0	2.3484816894600007
000100101010100010000000101010101000100101001001001000010011	0	0	0	2.3484816894600007
000100101010100010000000101010101000100101001001001000010011	0	0	0	2.3484816894600007
000101000001001110001000100001010010100100010001000101010011	0	0	0	2.559014701554486
000101000110000100101010101000001010010001100101100001000100	0	0	0	2.6345924077087073
000101001010110101010010001000010101000101101000010000000001	0	0	0	2.534238008123933
000101010001001001000001001001001010100010001001100010010101	0	0	0	2.407603242540145
000101010001001001000001001001001010100010001001100010010101	0	0	0	2.407603242540145
000101010001001001000001001001001010100010001001100010010101	0	0	0	2.407603242540145
000101010001001001000001001001001010100010001001100010010101	0	0	0	2.407603242540145
000101010001011010110100010000011000110100000000010000011010	0	0	0	2.6668311734425174
000101010010000010111010100010000100000100001000101001010101	0	0	0	2.5275608854414378
000101100000000001010101010011111000011101010010000000000010	0	0	0	2.686627240229041
000110000001000011000001000001010101001100010001001111000011	0	0	0	2.7269464737532534
000110001001010101100010001010010100010010100100000101000010	0	0	0	2.5451569579351454
000110010010001010001001000010010100101100100010010010010010	0	0	0	2.406757023585768
000110011001100101100000000001000100010000000100110011011010	0	0	0	2.662873454142205
000110011010000000000101010001000101100100001010110100010010	0	0	0	2.676889126423359
000110011111000011111100001000000000000000011011000000110000	0	0	0	2.4478604914020705
000110100000000101110110110000001110001100000011000000000011	0	0	0	2.5336706511538702
000111000000100000011110000010011011100000100000000011011001	0	0	0	2.624646209347553
000111000000111001101100000000110001100011000000110011000000	0	0	0	2.421820376087648
000111001000000001011011101110000000000000001100011111000000	0	0	0	2.5372930949829855
000111001001010101001000001000010001001000101001010100100010	0	0	0	2.5028212342270955
000111010000000000000001010111110001110100000000010000001111	0	0	0	2.5159622782808704
000111010000000010000000010011100011001000011001001100001101	0	0	0	2.6952836421809043
000111010000011010100001001111000000100100101100000010000001	0	0	0	2.7486212961429874
000111111011011100000000100001111000100000101100000000000000	0	0	0	2.55287364856127
001000000000000110000001100011101111000000000000000110111111	4560558	18	18	2.3582141291755603
001000000000000110000001100011101111000000000000000110111111	4560558	18	18	2.3582141291755603
001000000000000110000001100011101111000000000000000110111111	4560558	18	18	2.3582141291755603
001000000000000110000001100011101111000000000000000110111111	4560558	18	18	2.3582141291755603
001000000000000110000001100011101111000000000000000110111111	4560558	18	18	2.3582141291755603
001000000000000110000001100011101111000000000000000110111111	4560558	18	18	2.3582141291755603
001000000000000110000001100011101111000000000000000110111111	4560558	18	18	2.3582141291755603
001000000000000110000001100011101111000000000000000110111111	4560558	18	18	2.3582141291755603
001000000000000110000001100011101111000000000000000110111111	4560558	18	18	2.3582141291755603
001000000000001000000110011110000001110011100000110001110001	0	0	0	2.4913256312294334
001000000001010101011001010010101000010001001010010001001100	0	0	0	2.553535428806523
001000000010100001010101001000101010010101010101011000000100	0	0	0	2.402796185609023
001000000100100101010101001010011000101100001010001001001000	4560594	8	8	2.5426653903447347
001000001000000101110001000000110100110001001011000001001011	0	0	0	2.7219883839332266
001000001000101110100010101101000000100101000000100000100111	0	0	0	2.6887820722288636
001000001100000000000000000000111101011101011111010000000110	0	0	0	2.525135881309137
001000010001001000100001000110100001100011001100001100011001	0	0	0	2.583808285758962
001000010010100010000001010100101010101000101000010010011010	0	0	0	2.4346040649608396
001000010100000010010011001000010111001010000000010001110110	0	0	0	2.7619250322852302
001000010100100000100000110101000000100101010101010000011011	0	0	0	2.567601256981335
001000011000000010010101000101010100010001001001001010001011	0	0	0	2.4962868397258933
001000100001000101000000110000111010101101110110000010000000	0	0	0	2.7702107384384576
001000100001001010100010101010010101011001000100001101000000	0	0	0	2.5538133598870085
001000100010000000000001000010100101110001111001010101100010	0	0	0	2.7466469296289806
001000100011010001100000000110000000101011010110010000110100	0	0	0	2.710923667317558
001000100101010001010000101000010100100100100001011010010010	0	0	0	2.413439059023624
001000100101010001010000101000010100100100100001011010010010	0	0	0	2.413439059023624
001000100101010001010000101000010100100100100001011010010010	0	0	0	2.413439059023624
001000100101010001010000101000010100100100100001011010010010	0	0	0	2.413439059023624
